number,time,ID,length,data
0,09:34:45.180.0,0x18069c49,0x08,02 C3 50 00 00 00 00 18 
1,09:34:48.177.0,0x18069c49,0x08,02 C3 50 00 00 00 00 19 
2,09:34:51.189.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1A 
3,09:34:54.175.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1B 
4,09:34:57.169.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1C 
5,09:35:00.145.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1D 
6,09:35:03.147.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1E 
7,09:35:06.150.0,0x18069c49,0x08,02 C3 50 00 00 00 00 1F 
8,09:35:09.132.0,0x18069c49,0x08,02 C3 50 00 00 00 00 20 
9,09:35:12.132.0,0x18069c49,0x08,02 C3 50 00 00 00 00 21 
10,09:35:15.118.0,0x18069c49,0x08,02 00 3E 00 00 00 00 22 
11,09:35:18.108.0,0x18069c49,0x08,16 00 3E 00 00 00 00 23 
12,09:35:21.098.0,0x18069c49,0x08,16 00 3E 00 00 00 00 24 
13,09:35:24.096.0,0x18069c49,0x08,02 C3 50 00 00 00 00 25 
14,09:35:27.093.0,0x18069c49,0x08,02 C3 50 00 00 00 00 26 
